"Time","JavaScript"
"2021-04-01",52
"2021-05-01",55
"2021-06-01",60
"2021-07-01",54
"2021-08-01",51
"2021-09-01",56
"2021-10-01",53
"2021-11-01",56
"2021-12-01",62
"2022-01-01",81
"2022-02-01",100
"2022-03-01",95
"2022-04-01",92
"2022-05-01",89
"2022-06-01",92
"2022-07-01",88
"2022-08-01",89
"2022-09-01",90
"2022-10-01",77
"2022-11-01",92
"2022-12-01",85
"2023-01-01",89
"2023-02-01",98
"2023-03-01",100
"2023-04-01",84
"2023-05-01",81
"2023-06-01",86
"2023-07-01",88
"2023-08-01",85
"2023-09-01",80
"2023-10-01",73
"2023-11-01",69
"2023-12-01",77
"2024-01-01",84
"2024-02-01",96
"2024-03-01",89
"2024-04-01",86
"2024-05-01",83
"2024-06-01",75
"2024-07-01",80
"2024-08-01",75
"2024-09-01",72
"2024-10-01",65
"2024-11-01",69
"2024-12-01",69
"2025-01-01",72
"2025-02-01",67
"2025-03-01",61
"2025-04-01",55
"2025-05-01",50
"2025-06-01",53
"2025-07-01",53
"2025-08-01",45
"2025-09-01",44
"2025-10-01",38
"2025-11-01",42
"2025-12-01",44
"2026-01-01",39
"2026-02-01",43
"2026-03-01",34
